feature,occurrence_count
count,21
dst_host_srv_count,20
dst_host_count,19
srv_count,17
service_http,17
logged_in,14
dst_host_serror_rate,14
service_ecr_i,13
dst_host_same_src_port_rate,12
hot,10
protocol_type_icmp,8
is_guest_login,7
dst_host_same_srv_rate,6
dst_host_srv_rerror_rate,4
protocol_type_tcp,4
service_private,4
same_srv_rate,4
rerror_rate,3
service_ftp,3
flag_S0,3
dst_host_srv_serror_rate,3
dst_host_rerror_rate,2
dst_host_diff_srv_rate,2
flag_RSTR,2
src_bytes,1
srv_rerror_rate,1
flag_SF,1
service_smtp,1
service_other,1
diff_srv_rate,1
wrong_fragment,1
protocol_type_udp,1
