feature,occurrence_count
Flow Duration,15
Fwd Seg Size Min,15
Init Fwd Win Byts,15
Timestamp,15
Dst Port,15
Bwd Pkts/s,15
ACK Flag Cnt,14
Bwd IAT Mean,13
Init Bwd Win Byts,13
Fwd Pkts/s,12
Bwd Pkt Len Max,12
Flow Pkts/s,11
Bwd Pkt Len Std,10
PSH Flag Cnt,10
Protocol,10
Bwd Seg Size Avg,9
Bwd Pkt Len Min,9
Pkt Len Mean,9
ECE Flag Cnt,9
Pkt Size Avg,8
Fwd IAT Tot,6
Fwd IAT Min,6
Flow IAT Max,5
RST Flag Cnt,4
Fwd IAT Mean,4
Bwd IAT Tot,4
URG Flag Cnt,4
Bwd IAT Max,4
Flow IAT Mean,4
Idle Mean,4
Flow IAT Min,3
Fwd IAT Max,3
Flow IAT Std,2
Fwd Pkt Len Mean,2
Fwd Seg Size Avg,1
Bwd Pkt Len Mean,1
Bwd IAT Min,1
Bwd IAT Std,1
Fwd PSH Flags,1
Idle Max,1
