feature,occurrence_count
service_ecr_i,22
dst_host_same_src_port_rate,22
logged_in,22
count,22
service_http,22
dst_host_count,22
same_srv_rate,22
srv_count,20
dst_host_serror_rate,20
service_private,20
srv_serror_rate,20
dst_host_srv_count,19
serror_rate,19
dst_host_same_srv_rate,19
hot,16
diff_srv_rate,15
flag_S0,14
dst_host_srv_serror_rate,14
flag_SF,13
dst_host_rerror_rate,11
is_guest_login,10
service_smtp,9
service_ftp,9
protocol_type_icmp,8
dst_host_diff_srv_rate,5
srv_diff_host_rate,4
service_domain_u,4
srv_rerror_rate,3
dst_host_srv_rerror_rate,3
wrong_fragment,3
service_other,2
rerror_rate,2
flag_RSTR,2
src_bytes,1
protocol_type_tcp,1
