feature,occurrence_count
Subflow Bwd Byts,8
Init Bwd Win Byts,8
Protocol,8
Fwd IAT Max,7
Subflow Bwd Pkts,7
Src Port,7
Bwd Header Len,7
Subflow Fwd Byts,7
Dst Port,6
Flow IAT Min,6
ACK Flag Cnt,6
Fwd Header Len,5
Flow Duration,5
Init Fwd Win Byts,5
Fwd Act Data Pkts,5
Active Mean,4
Idle Min,4
Pkt Len Max,4
Fwd IAT Min,3
SYN Flag Cnt,3
Fwd Seg Size Min,3
Idle Mean,3
Active Min,3
Idle Max,3
Flow Pkts/s,3
Pkt Size Avg,2
Idle Std,2
Bwd Pkt Len Min,2
Active Std,2
Active Max,2
Flow IAT Std,2
Fwd Seg Size Avg,2
Tot Fwd Pkts,2
Fwd Pkt Len Max,2
Flow IAT Mean,2
Bwd Pkt Len Max,2
Bwd IAT Std,2
Fwd Pkt Len Mean,1
Fwd Blk Rate Avg,1
Flow IAT Max,1
Fwd IAT Mean,1
TotLen Fwd Pkts,1
Bwd Pkt Len Std,1
