feature,occurrence_count
srv_count,14
same_srv_rate,10
src_bytes,9
service_http,9
dst_bytes,6
dst_host_srv_serror_rate,6
logged_in,5
wrong_fragment,5
service_imap4,4
dst_host_srv_count,4
dst_host_same_srv_rate,4
land,4
diff_srv_rate,3
dst_host_diff_srv_rate,3
dst_host_serror_rate,3
flag_SH,2
protocol_type_tcp,2
dst_host_srv_diff_host_rate,2
flag_RSTR,2
lnum_shells,2
service_smtp,2
lroot_shell,2
dst_host_count,1
service_eco_i,1
num_failed_logins,1
dst_host_rerror_rate,1
dst_host_same_src_port_rate,1
srv_rerror_rate,1
protocol_type_icmp,1
