feature,occurrence_count
dst_host_same_srv_rate,17
dst_host_count,15
logged_in,14
dst_host_same_src_port_rate,14
protocol_type_tcp,13
dst_host_srv_count,13
service_http,12
same_srv_rate,10
serror_rate,8
service_private,8
protocol_type_icmp,8
srv_serror_rate,7
service_ecr_i,7
dst_host_serror_rate,6
flag_S0,6
flag_SF,6
dst_host_srv_serror_rate,5
count,5
dst_host_rerror_rate,4
dst_host_srv_rerror_rate,4
service_smtp,4
srv_count,4
hot,3
is_guest_login,3
dst_host_diff_srv_rate,3
srv_rerror_rate,3
service_ftp,3
srv_diff_host_rate,2
protocol_type_udp,2
service_other,2
service_ftp_data,2
rerror_rate,2
wrong_fragment,2
flag_REJ,1
src_bytes,1
flag_RSTR,1
