feature,occurrence_count
dst_host_srv_serror_rate,22
count,21
dst_bytes,21
dst_host_srv_count,20
dst_host_same_src_port_rate,20
srv_count,20
protocol_type_icmp,18
dst_host_serror_rate,18
logged_in,18
dst_host_same_srv_rate,18
src_bytes,18
dst_host_diff_srv_rate,17
service_http,17
dst_host_count,17
service_ecr_i,16
protocol_type_tcp,15
same_srv_rate,15
dst_host_srv_diff_host_rate,9
service_telnet,8
hot,8
flag_S0,7
wrong_fragment,7
dst_host_rerror_rate,7
service_private,6
serror_rate,5
dst_host_srv_rerror_rate,5
lroot_shell,5
service_ftp_data,5
flag_SF,5
service_eco_i,4
srv_serror_rate,4
lnum_file_creations,4
diff_srv_rate,4
rerror_rate,4
srv_rerror_rate,3
is_guest_login,3
duration,3
srv_diff_host_rate,3
protocol_type_udp,3
lnum_compromised,2
land,2
lnum_access_files,2
service_ftp,2
flag_RSTO,1
num_failed_logins,1
service_imap4,1
service_finger,1
flag_SH,1
lnum_root,1
lnum_shells,1
flag_RSTR,1
service_other,1
