feature,occurrence_count
dst_bytes,16
count,15
src_bytes,14
dst_host_srv_count,13
dst_host_same_src_port_rate,12
service_http,11
dst_host_count,11
srv_count,11
dst_host_srv_serror_rate,10
dst_host_same_srv_rate,7
service_ecr_i,7
dst_host_serror_rate,6
service_telnet,5
hot,5
dst_host_rerror_rate,5
wrong_fragment,5
flag_S0,4
logged_in,4
protocol_type_icmp,4
protocol_type_tcp,4
dst_host_srv_diff_host_rate,4
same_srv_rate,4
dst_host_srv_rerror_rate,3
diff_srv_rate,3
duration,3
service_ftp_data,3
rerror_rate,3
lroot_shell,2
lnum_access_files,2
srv_rerror_rate,2
serror_rate,2
flag_SF,2
dst_host_diff_srv_rate,2
srv_serror_rate,2
service_eco_i,2
lnum_compromised,1
service_imap4,1
num_failed_logins,1
land,1
is_guest_login,1
srv_diff_host_rate,1
service_finger,1
flag_SH,1
lnum_shells,1
lnum_file_creations,1
protocol_type_udp,1
service_private,1
