feature,occurrence_count
ACK Flag Cnt,15
Timestamp,15
Init Fwd Win Byts,15
PSH Flag Cnt,15
URG Flag Cnt,15
Fwd Seg Size Min,15
RST Flag Cnt,15
Dst Port,14
ECE Flag Cnt,14
Bwd IAT Tot,13
Bwd Pkt Len Max,13
Bwd Pkt Len Std,13
Flow Pkts/s,13
Init Bwd Win Byts,13
Flow Duration,12
Fwd IAT Tot,11
Flow IAT Max,10
Bwd Seg Size Avg,9
Protocol,8
Bwd Pkt Len Mean,7
Bwd Pkts/s,6
Idle Max,5
Bwd IAT Max,5
Fwd Pkts/s,5
SYN Flag Cnt,4
Fwd PSH Flags,3
Bwd IAT Min,2
Fwd IAT Max,2
Bwd IAT Std,2
Bwd IAT Mean,2
Pkt Len Mean,2
Fwd IAT Mean,1
Bwd Header Len,1
Fwd Seg Size Avg,1
Flow IAT Std,1
Bwd Pkt Len Min,1
Flow IAT Mean,1
Pkt Size Avg,1
