feature,occurrence_count
protocol_type_tcp,22
dst_host_srv_count,22
protocol_type_icmp,22
protocol_type_udp,21
flag_SF,21
flag_S0,21
dst_host_serror_rate,21
count,21
dst_host_count,21
logged_in,21
dst_host_same_srv_rate,21
same_srv_rate,21
dst_host_same_src_port_rate,20
srv_count,19
service_ecr_i,18
serror_rate,18
hot,17
service_private,16
service_http,16
dst_host_srv_serror_rate,11
dst_host_rerror_rate,10
srv_serror_rate,7
is_guest_login,6
wrong_fragment,5
dst_host_diff_srv_rate,3
diff_srv_rate,3
srv_rerror_rate,3
rerror_rate,3
dst_host_srv_rerror_rate,2
flag_REJ,2
srv_diff_host_rate,1
service_smtp,1
flag_RSTR,1
service_other,1
service_domain_u,1
service_ftp,1
